id,type,sensorName,time,x,y,z,w
6,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449335,-9.466313,-3.1174753,0.93973327,0.0
19,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449355,-9.4567375,-3.0169232,0.97803885,0.0
17,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449375,-9.50462,-2.988194,0.84396935,0.0
20,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449396,-9.442372,-2.9929824,0.8343929,0.0
13,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449416,-9.442372,-3.036076,0.92058045,0.0
14,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449437,-9.466313,-3.112687,0.87269855,0.0
12,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449457,-9.5620775,-3.088746,0.9062159,0.0
11,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449478,-9.523772,-3.088746,0.8248165,0.0
4,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449498,-9.466313,-3.1462045,0.8535457,0.0
15,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449519,-9.380127,-3.1270518,0.8822749,0.0
8,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449540,-9.4567375,-3.1892982,0.8343929,0.0
18,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449561,-9.566867,-3.2132392,0.7529936,0.0
3,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449581,-11.257099,-2.6769612,1.5430461,0.0
1,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449601,-8.7768135,-2.796666,0.8870631,0.0
10,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449621,-9.447162,-3.7399411,1.566987,0.0
22,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449642,-9.111987,-3.3568852,1.7872442,0.0
23,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449663,-9.188599,-3.0695932,2.0027132,0.0
29,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449684,-9.049741,-2.772725,1.830338,0.0
26,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449704,-9.246057,-2.480645,1.4807996,0.0
25,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449724,-9.748817,-2.2651763,0.982827,0.0
32,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449746,-9.5620775,-2.8780656,0.49443093,0.0
34,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449766,-9.495044,-3.0408642,0.48006636,0.0
47,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449786,-9.710511,-3.5148957,0.66680604,0.0
43,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449807,-9.480679,-3.6585417,0.7242644,0.0
53,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449828,-9.447162,-3.5101075,0.8248165,0.0
48,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449848,-9.437585,-3.304215,0.9301569,0.0
57,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449869,-9.428009,-3.160569,1.0354972,0.0
55,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449890,-9.447162,-3.0552287,0.9445215,0.0
69,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449910,-9.495044,-2.9498885,0.9062159,0.0
64,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449930,-9.58123,-2.9594648,0.89663947,0.0
68,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449951,-9.542926,-3.0791698,0.8631221,0.0
78,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449972,-9.471103,-3.1892982,0.8583339,0.0
81,runtime,"lsm6dso Accelerometer Non-wakeup",1632707449992,-9.39928,-3.083958,0.9876152,0.0
86,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450012,-9.442372,-3.13184,1.0163444,0.0
94,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450032,-9.466313,-3.160569,0.9157923,0.0
95,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450052,-9.480679,-3.13184,1.0019798,0.0
98,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450073,-9.370549,-3.1462045,0.94930965,0.0
99,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450093,-9.485467,-2.9451003,0.8870631,0.0
101,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450113,-9.518985,-2.7870898,0.7003234,0.0
110,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450133,-9.672207,-2.9786174,0.6332887,0.0
116,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450153,-9.4327965,-2.9594648,0.690747,0.0
115,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450173,-9.451949,-3.1270518,0.9110041,0.0
118,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450193,-9.495044,-3.1653574,1.0833793,0.0
124,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450213,-9.547713,-3.352097,1.0738028,0.0
130,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450233,-9.485467,-3.2994268,0.8391811,0.0
132,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450254,-9.265209,-3.1892982,0.84396935,0.0
134,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450274,-9.332245,-3.1031108,0.92536867,0.0
146,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450294,-9.279574,-3.1174753,1.0115563,0.0
143,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450314,-9.39928,-2.9211593,0.8487575,0.0
150,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450334,-9.629112,-3.0695932,0.9636743,0.0
149,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450353,-9.653053,-2.964253,1.006768,0.0
156,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450375,-9.39928,-2.7296312,0.810452,0.0
166,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450394,-9.595595,-2.724843,0.64286506,0.0
172,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450414,-9.533349,-2.89243,0.7290526,0.0
169,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450434,-9.375339,-2.9307356,0.690747,0.0
173,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450454,-9.18381,-3.0264995,0.5758303,0.0
183,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450475,-9.303515,-2.767937,0.41781977,0.0
180,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450495,-9.471103,-3.0456522,0.25980926,0.0
186,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450515,-9.614749,-3.4095552,0.11616334,0.0
182,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450535,-9.653053,-3.6633298,0.034763977,0.0
187,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450555,-9.47589,-3.4670138,-0.099305555,0.0
196,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450576,-9.423221,-3.2419686,-0.27168068,0.0
195,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450595,-9.509408,-3.2706978,-0.25731608,0.0
205,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450616,-9.557289,-3.3425205,-0.2525279,0.0
215,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450636,-9.509408,-3.0791698,-0.46320856,0.0
211,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450656,-9.523772,-2.8876417,-0.424903,0.0
209,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450676,-9.485467,-2.9786174,-0.2046459,0.0
227,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450696,-9.437585,-3.036076,-0.424903,0.0
230,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450716,-9.528561,-3.0312877,-0.69783026,0.0
229,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450736,-9.600384,-3.1174753,-0.7026185,0.0
237,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450756,-9.408855,-3.2180276,-0.7217713,0.0
236,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450777,-9.47589,-3.5771422,-0.6930421,0.0
248,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450797,-9.724876,-3.5867188,-0.65952474,0.0
244,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450817,-9.648266,-3.4430728,-1.0617332,0.0
251,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450837,-9.633901,-3.5148957,-1.1622854,0.0
255,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450857,-9.408855,-3.1892982,-0.86062896,0.0
253,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450878,-9.313091,-3.0217113,-0.7026185,0.0
264,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450898,-9.4567375,-2.9259474,-0.6738893,0.0
263,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450918,-9.509408,-2.9546766,-1.0234277,0.0
267,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450938,-9.724876,-2.8397598,-0.9516047,0.0
280,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450958,-9.672207,-2.8541245,-0.8989346,0.0
271,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450978,-9.509408,-2.8158188,-0.83189976,0.0
272,runtime,"lsm6dso Accelerometer Non-wakeup",1632707450998,-9.643477,-2.8732772,-0.7744414,0.0
291,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451018,-10.026532,-2.8253953,-0.67867744,0.0
286,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451039,-9.897251,-2.7392077,-0.63079554,0.0
296,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451059,-9.734452,-2.8589127,-0.57333714,0.0
300,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451079,-9.595595,-2.8014543,-0.48236135,0.0
299,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451099,-9.58123,-2.6530204,-0.4344794,0.0
306,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451119,-9.672207,-2.7104785,-0.35308003,0.0
312,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451139,-9.5381365,-2.6673849,-0.36744463,0.0
311,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451159,-9.298727,-2.5093744,-0.4296912,0.0
308,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451179,-9.39928,-2.6338673,-0.52066696,0.0
320,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451200,-9.528561,-2.6530204,-0.25731608,0.0
329,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451220,-9.638689,-2.4375513,-0.4105384,0.0
322,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451240,-9.715301,-1.9778843,-0.5541843,0.0
331,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451260,-9.528561,-2.2220826,-0.8223234,0.0
336,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451280,-9.68657,-2.408822,-0.6738893,0.0
342,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451300,-9.720089,-2.5428915,-0.60206634,0.0
346,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451320,-9.791911,-2.5811973,-0.57812536,0.0
347,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451341,-9.806275,-2.6865375,-0.6691011,0.0
351,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451360,-9.605171,-2.940312,-0.6116427,0.0
356,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451381,-9.696148,-3.1222634,-0.49672595,0.0
359,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451402,-10.031322,-3.0264995,-0.26689246,0.0
370,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451422,-9.868523,-2.791878,-0.6403719,0.0
374,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451441,-9.514195,-2.504586,-0.68346566,0.0
371,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451462,-9.633901,-2.4423394,-0.5110905,0.0
378,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451482,-9.638689,-2.2795408,-0.48714957,0.0
387,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451502,-9.739242,-2.2891173,-0.54460794,0.0
379,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451522,-9.595595,-2.4136102,-0.68346566,0.0
386,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451542,-9.739242,-2.4471278,-0.7169831,0.0
396,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451562,-9.84937,-2.4710689,-0.6451601,0.0
393,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451583,-9.705724,-2.5668325,-0.7457122,0.0
415,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451603,-9.705724,-2.5189505,-0.740924,0.0
416,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451623,-9.858947,-2.6051383,-0.6403719,0.0
405,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451643,-9.676994,-2.5237389,-0.63079554,0.0
411,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451664,-9.653053,-2.3417873,-0.6738893,0.0
418,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451683,-9.763183,-2.4950097,-0.6738893,0.0
421,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451703,-9.705724,-2.456704,-0.6643129,0.0
424,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451723,-9.758393,-2.4758568,-0.5398198,0.0
426,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451744,-9.782334,-2.4231868,-0.58770174,0.0
432,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451764,-9.758393,-2.4519157,-0.6212191,0.0
436,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451784,-9.619536,-2.4614923,-0.57333714,0.0
443,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451804,-9.676994,-2.5093744,-0.5637607,0.0
451,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451825,-9.739242,-2.456704,-0.53503156,0.0
449,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451845,-9.729665,-2.408822,-0.46320856,0.0
452,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451865,-9.758393,-2.404034,-0.57333714,0.0
463,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451885,-9.739242,-2.36094,-0.6164309,0.0
460,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451904,-9.835006,-2.408822,-0.5398198,0.0
465,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451925,-9.8780985,-2.3178463,-0.4057502,0.0
474,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451945,-9.839793,-2.2508116,-0.46320856,0.0
467,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451965,-9.710511,-2.2077177,-0.48714957,0.0
479,runtime,"lsm6dso Accelerometer Non-wakeup",1632707451986,-9.763183,-2.2316587,-0.49193776,0.0
480,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452005,-9.653053,-2.3657284,-0.46320856,0.0
488,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452025,-9.758393,-2.4279747,-0.39138559,0.0
495,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452046,-9.825429,-2.3992457,-0.4153266,0.0
489,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452066,-9.806275,-2.3417873,-0.568549,0.0
496,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452086,-9.758393,-2.3753047,-0.57812536,0.0
497,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452106,-9.710511,-2.4758568,-0.57812536,0.0
502,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452126,-9.657842,-2.4423394,-0.5637607,0.0
509,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452146,-9.729665,-2.4183986,-0.5302434,0.0
508,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452166,-9.801488,-2.4136102,-0.5541843,0.0
519,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452186,-9.715301,-2.384881,-0.55897254,0.0
531,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452207,-9.767971,-2.480645,-0.5015142,0.0
521,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452227,-9.681783,-2.4902215,-0.49193776,0.0
526,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452247,-9.748817,-2.5141625,-0.44405577,0.0
542,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452267,-9.777547,-2.404034,-0.49193776,0.0
535,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452287,-9.74403,-2.3944576,-0.6116427,0.0
539,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452308,-9.696148,-2.4662805,-0.54460794,0.0
540,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452327,-9.700935,-2.4471278,-0.5972782,0.0
551,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452348,-9.748817,-2.4710689,-0.45363215,0.0
547,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452368,-9.6674185,-2.408822,-0.54460794,0.0
563,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452388,-9.662629,-2.408822,-0.60206634,0.0
558,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452408,-9.6674185,-2.480645,-0.54939616,0.0
565,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452428,-9.729665,-2.456704,-0.53503156,0.0
573,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452448,-9.720089,-2.5093744,-0.5110905,0.0
569,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452468,-9.74403,-2.480645,-0.48236135,0.0
581,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452489,-9.715301,-2.4231868,-0.5637607,0.0
584,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452508,-9.715301,-2.3944576,-0.48236135,0.0
582,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452529,-9.715301,-2.432763,-0.50630236,0.0
583,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452549,-9.758393,-2.5189505,-0.48236135,0.0
589,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452569,-9.715301,-2.3944576,-0.4344794,0.0
595,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452589,-9.700935,-2.404034,-0.5110905,0.0
597,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452609,-9.782334,-2.4662805,-0.53503156,0.0
601,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452630,-9.672207,-2.5476797,-0.49193776,0.0
607,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452649,-9.758393,-2.4997978,-0.5158788,0.0
615,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452670,-9.753606,-2.456704,-0.55897254,0.0
619,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452690,-9.715301,-2.4423394,-0.52066696,0.0
620,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452710,-9.715301,-2.3417873,-0.52066696,0.0
621,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452730,-9.653053,-2.4902215,-0.45842037,0.0
629,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452750,-9.787124,-2.3417873,-0.43926758,0.0
643,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452771,-9.830216,-2.2555997,-0.49193776,0.0
633,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452791,-9.696148,-2.3944576,-0.46799675,0.0
639,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452811,-9.643477,-2.3896692,-0.424903,0.0
645,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452832,-9.791911,-2.4662805,-0.48714957,0.0
668,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452853,-9.753606,-2.4614923,-0.568549,0.0
656,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452873,-9.7727585,-2.4471278,-0.46320856,0.0
653,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452894,-9.590808,-2.3992457,-0.4344794,0.0
663,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452914,-9.662629,-2.408822,-0.5110905,0.0
662,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452935,-9.739242,-2.4471278,-0.52066696,0.0
677,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452956,-9.767971,-2.5381036,-0.49193776,0.0
675,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452976,-9.710511,-2.4950097,-0.48714957,0.0
682,runtime,"lsm6dso Accelerometer Non-wakeup",1632707452997,-9.74403,-2.432763,-0.58770174,0.0
689,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453017,-9.715301,-2.4471278,-0.46320856,0.0
683,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453037,-9.662629,-2.5333152,-0.43926758,0.0
686,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453058,-9.68657,-2.4950097,-0.48714957,0.0
703,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453079,-9.758393,-2.408822,-0.48236135,0.0
692,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453099,-9.724876,-2.3753047,-0.49193776,0.0
710,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453120,-9.729665,-2.4279747,-0.53503156,0.0
712,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453141,-9.662629,-2.3992457,-0.48236135,0.0
711,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453162,-9.739242,-2.4614923,-0.54939616,0.0
713,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453182,-9.705724,-2.4614923,-0.5254552,0.0
714,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453202,-9.758393,-2.4758568,-0.55897254,0.0
723,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453223,-9.753606,-2.480645,-0.54460794,0.0
735,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453244,-9.662629,-2.5381036,-0.55897254,0.0
732,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453264,-9.681783,-2.480645,-0.5158788,0.0
728,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453285,-9.748817,-2.5476797,-0.54939616,0.0
736,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453305,-9.700935,-2.504586,-0.5015142,0.0
739,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453326,-9.720089,-2.4662805,-0.49193776,0.0
753,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453346,-9.6913595,-2.3753047,-0.49672595,0.0
748,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453367,-9.681783,-2.3944576,-0.5637607,0.0
751,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453387,-9.653053,-2.5141625,-0.5158788,0.0
756,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453409,-9.643477,-2.5333152,-0.53503156,0.0
771,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453428,-9.710511,-2.5093744,-0.5398198,0.0
761,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453449,-9.791911,-2.432763,-0.5158788,0.0
769,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453470,-9.787124,-2.4519157,-0.5110905,0.0
770,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453490,-9.782334,-2.3992457,-0.5110905,0.0
780,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453511,-9.710511,-2.456704,-0.5254552,0.0
783,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453532,-9.700935,-2.5333152,-0.5302434,0.0
782,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453552,-9.624325,-2.4997978,-0.54460794,0.0
788,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453572,-9.6674185,-2.4950097,-0.55897254,0.0
799,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453593,-9.758393,-2.4854333,-0.5302434,0.0
798,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453614,-9.705724,-2.4423394,-0.53503156,0.0
805,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453635,-9.734452,-2.4231868,-0.5829135,0.0
808,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453655,-9.648266,-2.552468,-0.52066696,0.0
809,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453675,-9.557289,-2.480645,-0.5110905,0.0
814,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453696,-9.767971,-2.5093744,-0.54460794,0.0
821,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453717,-9.700935,-2.4279747,-0.5254552,0.0
817,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453737,-9.734452,-2.456704,-0.49672595,0.0
825,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453758,-9.643477,-2.4950097,-0.52066696,0.0
828,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453778,-9.705724,-2.4423394,-0.5158788,0.0
841,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453798,-9.720089,-2.4279747,-0.5972782,0.0
842,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453817,-9.763183,-2.4423394,-0.5398198,0.0
836,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453838,-9.729665,-2.4614923,-0.50630236,0.0
850,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453859,-9.648266,-2.4519157,-0.45842037,0.0
852,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453878,-9.68657,-2.3226345,-0.49193776,0.0
867,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453898,-9.720089,-2.4279747,-0.48236135,0.0
866,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453918,-9.767971,-2.4902215,-0.45363215,0.0
857,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453939,-9.6913595,-2.4710689,-0.47757316,0.0
869,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453959,-9.720089,-2.5141625,-0.57812536,0.0
877,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453979,-9.681783,-2.4519157,-0.5254552,0.0
871,runtime,"lsm6dso Accelerometer Non-wakeup",1632707453999,-9.657842,-2.4902215,-0.5398198,0.0
878,runtime,"lsm6dso Accelerometer Non-wakeup",1632707454019,-9.724876,-2.432763,-0.5541843,0.0
882,runtime,"lsm6dso Accelerometer Non-wakeup",1632707454040,-9.758393,-2.5716207,-0.57812536,0.0
887,runtime,"lsm6dso Accelerometer Non-wakeup",1632707454059,-9.724876,-2.5668325,-0.54460794,0.0
891,runtime,"lsm6dso Accelerometer Non-wakeup",1632707454079,-9.662629,-2.528527,-0.43926758,0.0
897,runtime,"lsm6dso Accelerometer Non-wakeup",1632707454100,-9.653053,-2.4902215,-0.5015142,0.0
898,runtime,"lsm6dso Accelerometer Non-wakeup",1632707454120,-9.74403,-2.5189505,-0.48236135,0.0
905,runtime,"lsm6dso Accelerometer Non-wakeup",1632707454141,-9.6913595,-2.5189505,-0.46799675,0.0
910,runtime,"lsm6dso Accelerometer Non-wakeup",1632707454160,-9.734452,-2.4614923,-0.48236135,0.0
911,runtime,"lsm6dso Accelerometer Non-wakeup",1632707454180,-9.657842,-2.408822,-0.5398198,0.0
917,runtime,"lsm6dso Accelerometer Non-wakeup",1632707454201,-9.74403,-2.4279747,-0.49672595,0.0
926,runtime,"lsm6dso Accelerometer Non-wakeup",1632707454221,-9.676994,-2.4854333,-0.5110905,0.0
923,runtime,"lsm6dso Accelerometer Non-wakeup",1632707454241,-9.676994,-2.5716207,-0.5637607,0.0
932,runtime,"lsm6dso Accelerometer Non-wakeup",1632707454261,-9.662629,-2.5716207,-0.52066696,0.0
934,runtime,"lsm6dso Accelerometer Non-wakeup",1632707454281,-9.705724,-2.4519157,-0.49193776,0.0
929,runtime,"lsm6dso Accelerometer Non-wakeup",1632707454301,-9.724876,-2.3992457,-0.53503156,0.0
938,runtime,"lsm6dso Accelerometer Non-wakeup",1632707454321,-9.672207,-2.408822,-0.50630236,0.0
